Delivery_person_Age,Delivery_person_Ratings,Weatherconditions,Road_traffic_density,Type_of_order,Type_of_vehicle,multiple_deliveries,City,Time_taken(min),Distance
37,4.9,Sunny,High ,Snack ,motorcycle ,0,Urban ,24,3.025
34,4.5,Stormy,Jam ,Snack ,scooter ,1,Metropolitian ,33,20.184
23,4.4,Sandstorms,Low ,Drinks ,motorcycle ,1,Urban ,26,1.553
38,4.7,Sunny,Medium ,Buffet ,motorcycle ,1,Metropolitian ,21,7.79
32,4.6,Cloudy,High ,Snack ,scooter ,1,Metropolitian ,30,6.21
22,4.8,Cloudy,Jam ,Buffet ,motorcycle ,1,Urban ,26,4.61
33,4.7,Fog,Jam ,Meal ,scooter ,1,Metropolitian ,40,16.6
35,4.6,Cloudy,Medium ,Meal ,motorcycle ,1,Metropolitian ,32,20.205
22,4.8,Stormy,Jam ,Buffet ,motorcycle ,1,Metropolitian ,34,19.976
36,4.2,Fog,Jam ,Snack ,motorcycle ,3,Metropolitian ,46,10.281
21,4.7,Stormy,High ,Meal ,motorcycle ,1,Metropolitian ,23,6.242
23,4.7,Sandstorms,Medium ,Drinks ,scooter ,1,Metropolitian ,21,13.788
34,4.3,Sandstorms,Low ,Buffet ,motorcycle ,0,Metropolitian ,20,2.93
24,4.7,Fog,Jam ,Snack ,scooter ,1,Metropolitian ,41,19.397
29,4.5,Sandstorms,Jam ,Buffet ,electric_scooter ,1,Metropolitian ,20,13.764
35,4.0,Windy,High ,Meal ,scooter ,1,Metropolitian ,33,6.218
33,4.2,Sandstorms,Jam ,Snack ,motorcycle ,1,Metropolitian ,40,16.85
21,4.7,Windy,Jam ,Meal ,motorcycle ,1,Urban ,15,4.541
25,4.1,Sandstorms,Jam ,Snack ,motorcycle ,2,Metropolitian ,36,12.256
31,4.7,Sandstorms,Low ,Meal ,electric_scooter ,0,Metropolitian ,26,19.619
37,5.0,Sandstorms,Low ,Snack ,motorcycle ,1,Metropolitian ,20,1.558
33,4.3,Windy,Jam ,Meal ,scooter ,1,Metropolitian ,39,20.181
25,4.0,Cloudy,High ,Buffet ,motorcycle ,1,Metropolitian ,34,6.117
29,4.5,Sunny,Medium ,Meal ,electric_scooter ,1,Metropolitian ,15,17.076
27,5.0,Stormy,Jam ,Snack ,motorcycle ,0,Urban ,18,4.47
35,4.3,Cloudy,Low ,Drinks ,scooter ,0,Metropolitian ,38,13.682
32,4.0,Windy,Jam ,Buffet ,motorcycle ,1,Metropolitian ,47,13.973
23,4.8,Windy,Low ,Buffet ,electric_scooter ,0,Urban ,12,16.854
31,4.8,Sandstorms,Low ,Drinks ,motorcycle ,1,Metropolitian ,26,4.674
36,4.1,Stormy,Low ,Drinks ,motorcycle ,1,Urban ,22,7.602
26,4.3,Sandstorms,Low ,Buffet ,motorcycle ,0,Urban ,21,7.72
38,4.9,Cloudy,High ,Drinks ,scooter ,1,Urban ,25,6.176
32,4.6,Cloudy,Low ,Drinks ,scooter ,1,Metropolitian ,30,19.915
33,4.9,Sunny,Medium ,Snack ,motorcycle ,1,Metropolitian ,22,10.725
20,4.7,Windy,High ,Snack ,scooter ,0,Urban ,10,6.128
20,4.8,Sandstorms,Low ,Meal ,scooter ,1,Metropolitian ,19,1.52
35,5.0,Sunny,Low ,Snack ,scooter ,1,Urban ,11,3.073
26,4.9,Stormy,Low ,Buffet ,scooter ,0,Metropolitian ,11,3.105
22,4.8,Fog,Low ,Snack ,motorcycle ,1,Metropolitian ,28,10.867
35,4.3,Cloudy,Medium ,Snack ,motorcycle ,1,Metropolitian ,33,10.865
37,4.7,Sandstorms,Jam ,Snack ,motorcycle ,3,Metropolitian ,52,13.683
28,4.6,Stormy,Jam ,Snack ,scooter ,1,Metropolitian ,22,16.826
37,4.9,Fog,Low ,Snack ,scooter ,1,Urban ,16,3.027
23,4.9,Sunny,Jam ,Drinks ,electric_scooter ,0,Metropolitian ,11,9.175
27,4.9,Windy,Medium ,Drinks ,scooter ,1,Metropolitian ,25,9.315
37,4.8,Cloudy,Medium ,Drinks ,motorcycle ,1,Urban ,26,6.209
33,5.0,Sunny,High ,Snack ,scooter ,1,Metropolitian ,18,1.52
31,4.9,Fog,Medium ,Snack ,motorcycle ,1,Metropolitian ,16,6.037
31,4.8,Stormy,Low ,Drinks ,scooter ,1,Metropolitian ,23,17.079
28,4.8,Sandstorms,Jam ,Drinks ,motorcycle ,1,Metropolitian ,36,12.464
31,4.7,Cloudy,Low ,Snack ,motorcycle ,0,Metropolitian ,16,9.121
24,4.7,Sunny,Medium ,Buffet ,motorcycle ,0,Urban ,19,14.023
39,4.6,Sunny,Low ,Snack ,motorcycle ,1,Metropolitian ,27,13.393
25,4.8,Sandstorms,Low ,Drinks ,scooter ,0,Urban ,18,11.917
33,4.9,Sunny,Jam ,Drinks ,scooter ,0,Metropolitian ,22,4.664
30,4.4,Cloudy,Low ,Drinks ,scooter ,1,Metropolitian ,34,10.641
33,5.0,Sandstorms,Low ,Buffet ,motorcycle ,0,Urban ,24,16.818
36,4.9,Fog,Medium ,Drinks ,scooter ,1,Metropolitian ,17,6.129
21,4.8,Sandstorms,Low ,Meal ,electric_scooter ,0,Metropolitian ,14,2.996
39,4.9,Stormy,Jam ,Meal ,motorcycle ,1,Metropolitian ,30,7.342
39,4.6,Cloudy,Jam ,Snack ,scooter ,1,Metropolitian ,36,13.972
22,4.7,Sunny,High ,Buffet ,scooter ,1,Urban ,18,6.081
32,4.6,Fog,Medium ,Meal ,scooter ,0,Metropolitian ,17,6.081
26,4.7,Fog,Low ,Buffet ,motorcycle ,0,Metropolitian ,10,9.22
35,4.1,Sandstorms,Jam ,Buffet ,motorcycle ,2,Metropolitian ,37,13.97
39,4.6,Fog,Jam ,Drinks ,scooter ,2,Metropolitian ,44,13.973
34,4.7,Windy,High ,Drinks ,electric_scooter ,1,Metropolitian ,28,6.059
27,4.7,Cloudy,Jam ,Snack ,scooter ,1,Metropolitian ,42,17.078
25,4.4,Cloudy,Medium ,Snack ,scooter ,1,Metropolitian ,39,17.073
25,4.7,Stormy,Medium ,Meal ,motorcycle ,0,Urban ,20,16.818
30,5.0,Stormy,High ,Buffet ,motorcycle ,1,Metropolitian ,31,2.98
24,4.6,Stormy,Jam ,Buffet ,motorcycle ,0,Metropolitian ,13,9.221
25,4.8,Windy,High ,Snack ,scooter ,1,Urban ,19,6.176
37,4.6,Fog,Low ,Buffet ,motorcycle ,2,Urban ,42,12.21
24,5.0,Fog,Low ,Drinks ,motorcycle ,1,Metropolitian ,23,1.553
25,4.2,Stormy,Jam ,Meal ,motorcycle ,1,Metropolitian ,39,16.903
32,4.6,Stormy,Low ,Drinks ,motorcycle ,1,Metropolitian ,25,1.509
38,4.9,Cloudy,Low ,Drinks ,scooter ,1,Urban ,15,3.025
36,4.8,Sunny,Medium ,Buffet ,electric_scooter ,0,Metropolitian ,15,13.407
29,5.0,Sunny,Low ,Drinks ,motorcycle ,0,Metropolitian ,18,7.772
36,4.7,Sandstorms,Low ,Drinks ,electric_scooter ,0,Metropolitian ,29,13.774
33,4.7,Fog,Low ,Snack ,motorcycle ,0,Metropolitian ,20,7.79
36,4.4,Cloudy,High ,Meal ,scooter ,1,Metropolitian ,39,6.218
21,4.8,Windy,Low ,Snack ,motorcycle ,0,Metropolitian ,19,16.853
25,4.8,Cloudy,Low ,Snack ,scooter ,1,Urban ,19,4.61
23,4.8,Windy,Low ,Meal ,motorcycle ,0,Metropolitian ,17,19.88
25,4.6,Stormy,Low ,Snack ,motorcycle ,1,Urban ,15,1.558
24,4.3,Sandstorms,Low ,Meal ,motorcycle ,0,Urban ,19,3.025
27,4.6,Sandstorms,Jam ,Buffet ,motorcycle ,1,Metropolitian ,29,13.972
23,4.8,Cloudy,Low ,Snack ,scooter ,1,Urban ,22,16.831
21,4.3,Fog,Jam ,Drinks ,scooter ,0,Metropolitian ,42,20.208
27,4.7,Sandstorms,Low ,Snack ,scooter ,0,Urban ,12,3.041
32,4.2,Cloudy,Jam ,Snack ,motorcycle ,1,Metropolitian ,38,20.254
25,4.6,Sunny,Low ,Drinks ,motorcycle ,1,Metropolitian ,23,16.721
39,4.7,Cloudy,Low ,Meal ,scooter ,0,Metropolitian ,15,2.985
27,4.6,Sunny,Low ,Snack ,motorcycle ,1,Metropolitian ,24,12.161
39,3.8,Windy,Jam ,Drinks ,motorcycle ,0,Metropolitian ,37,16.822
31,4.8,Sandstorms,Low ,Snack ,scooter ,0,Metropolitian ,24,7.763
31,4.8,Sunny,Low ,Buffet ,electric_scooter ,0,Metropolitian ,13,9.056
36,4.9,Cloudy,Medium ,Drinks ,motorcycle ,1,Urban ,42,12.074
20,4.9,Sandstorms,Low ,Meal ,motorcycle ,1,Metropolitian ,17,13.58
24,4.6,Cloudy,Jam ,Drinks ,motorcycle ,0,Metropolitian ,25,4.47
39,4.2,Fog,Medium ,Snack ,scooter ,0,Metropolitian ,39,16.635
37,4.8,Sunny,High ,Meal ,scooter ,0,Metropolitian ,18,6.232
32,4.9,Sandstorms,Medium ,Drinks ,motorcycle ,1,Metropolitian ,28,6.209
22,4.5,Sandstorms,Low ,Drinks ,scooter ,1,Metropolitian ,18,7.461
23,4.9,Windy,Low ,Meal ,scooter ,0,Metropolitian ,18,20.254
33,4.7,Fog,Jam ,Snack ,scooter ,1,Metropolitian ,49,16.601
27,4.6,Sunny,Low ,Drinks ,motorcycle ,1,Metropolitian ,21,12.421
34,4.7,Sunny,High ,Snack ,scooter ,0,Metropolitian ,23,6.119
26,5.0,Fog,Low ,Meal ,scooter ,1,Urban ,11,1.52
31,4.6,Cloudy,Jam ,Snack ,motorcycle ,0,Metropolitian ,25,9.088
32,4.9,Fog,Low ,Snack ,motorcycle ,0,Metropolitian ,18,3.064
27,4.7,Cloudy,Low ,Buffet ,motorcycle ,0,Metropolitian ,14,3.025
21,4.9,Windy,Medium ,Drinks ,motorcycle ,2,Metropolitian ,36,13.973
33,4.4,Sandstorms,Low ,Snack ,motorcycle ,1,Metropolitian ,28,1.537
20,4.6,Fog,Jam ,Buffet ,motorcycle ,0,Metropolitian ,44,13.973
31,4.3,Windy,Low ,Snack ,motorcycle ,1,Metropolitian ,20,9.348
36,5.0,Fog,Jam ,Snack ,motorcycle ,1,Metropolitian ,35,10.602
31,4.2,Sandstorms,Jam ,Meal ,motorcycle ,1,Metropolitian ,50,17.076
39,4.1,Stormy,Jam ,Meal ,scooter ,1,Metropolitian ,34,9.221
29,4.6,Sandstorms,High ,Snack ,scooter ,0,Urban ,23,6.081
37,4.9,Fog,Medium ,Buffet ,motorcycle ,1,Metropolitian ,27,4.674
31,3.9,Cloudy,Low ,Buffet ,scooter ,1,Metropolitian ,35,10.709
24,4.6,Stormy,Medium ,Snack ,motorcycle ,0,Metropolitian ,30,17.137
39,4.8,Cloudy,High ,Snack ,motorcycle ,1,Metropolitian ,28,6.218
20,4.7,Sandstorms,Medium ,Drinks ,motorcycle ,1,Metropolitian ,24,12.464
20,5.0,Cloudy,Jam ,Meal ,motorcycle ,1,Urban ,36,20.207
29,4.3,Sandstorms,Low ,Buffet ,motorcycle ,0,Metropolitian ,28,9.081
36,4.8,Fog,Medium ,Drinks ,motorcycle ,1,Urban ,31,17.138
36,4.0,Sunny,Jam ,Meal ,motorcycle ,3,Metropolitian ,44,13.631
22,4.8,Windy,Low ,Drinks ,scooter ,1,Metropolitian ,15,12.074
38,4.4,Windy,Medium ,Buffet ,motorcycle ,1,Metropolitian ,33,10.723
39,4.9,Fog,Jam ,Buffet ,motorcycle ,0,Metropolitian ,30,7.601
24,4.9,Stormy,Medium ,Snack ,scooter ,1,Metropolitian ,22,7.563
35,4.8,Fog,Medium ,Meal ,motorcycle ,3,Metropolitian ,48,13.829
33,4.5,Stormy,Low ,Drinks ,electric_scooter ,1,Metropolitian ,19,13.969
39,4.7,Windy,Medium ,Snack ,motorcycle ,1,Urban ,21,10.923
31,4.3,Windy,Jam ,Drinks ,motorcycle ,0,Metropolitian ,44,12.117
37,4.5,Windy,Low ,Drinks ,scooter ,0,Metropolitian ,26,1.553
37,4.7,Windy,Low ,Buffet ,scooter ,1,Metropolitian ,26,4.664
33,5.0,Windy,High ,Meal ,motorcycle ,1,Metropolitian ,31,1.529
33,4.5,Sunny,Jam ,Snack ,scooter ,0,Metropolitian ,18,11.917
39,4.7,Fog,Medium ,Meal ,motorcycle ,1,Metropolitian ,38,10.486
37,4.6,Cloudy,Medium ,Snack ,motorcycle ,1,Metropolitian ,32,13.583
25,4.9,Sandstorms,Low ,Meal ,scooter ,1,Metropolitian ,17,7.683
28,4.8,Fog,Medium ,Buffet ,scooter ,1,Urban ,11,9.193
38,4.7,Windy,High ,Buffet ,motorcycle ,1,Metropolitian ,31,6.218
31,4.6,Windy,Medium ,Meal ,motorcycle ,0,Metropolitian ,25,9.327
25,4.8,Cloudy,Jam ,Snack ,motorcycle ,1,Metropolitian ,22,9.18
35,4.9,Fog,Jam ,Drinks ,motorcycle ,3,Metropolitian ,43,10.881
39,4.7,Fog,Jam ,Buffet ,motorcycle ,1,Metropolitian ,42,10.565
38,3.9,Stormy,Jam ,Meal ,motorcycle ,0,Metropolitian ,42,12.1
35,4.7,Fog,Jam ,Drinks ,motorcycle ,1,Metropolitian ,34,4.657
29,4.7,Sandstorms,Low ,Snack ,motorcycle ,1,Metropolitian ,17,2.981
27,4.6,Stormy,Jam ,Snack ,scooter ,0,Metropolitian ,25,4.561
38,4.3,Sandstorms,Jam ,Meal ,motorcycle ,1,Semi-Urban ,54,13.99
36,4.9,Windy,Low ,Buffet ,motorcycle ,0,Metropolitian ,21,10.642
26,4.1,Fog,Jam ,Meal ,motorcycle ,1,Metropolitian ,36,13.428
36,4.9,Sunny,Medium ,Drinks ,motorcycle ,0,Metropolitian ,17,9.327
21,4.7,Sunny,Low ,Meal ,motorcycle ,1,Metropolitian ,16,1.49
35,4.7,Sunny,Jam ,Meal ,electric_scooter ,1,Metropolitian ,27,12.418
20,4.5,Fog,High ,Meal ,motorcycle ,1,Metropolitian ,26,6.218
23,4.6,Fog,Jam ,Snack ,motorcycle ,2,Metropolitian ,46,13.788
37,5.0,Sunny,Jam ,Buffet ,motorcycle ,0,Metropolitian ,29,9.08
26,4.8,Sandstorms,Jam ,Snack ,motorcycle ,1,Metropolitian ,23,9.315
26,4.9,Stormy,Medium ,Snack ,motorcycle ,0,Metropolitian ,28,16.637
29,4.8,Cloudy,Jam ,Meal ,motorcycle ,1,Metropolitian ,25,9.193
29,4.7,Sandstorms,Low ,Snack ,motorcycle ,0,Metropolitian ,11,3.018
21,4.9,Windy,Medium ,Meal ,scooter ,1,Metropolitian ,26,4.395
22,4.3,Stormy,Low ,Meal ,motorcycle ,1,Metropolitian ,23,3.109
31,4.0,Fog,Medium ,Snack ,motorcycle ,2,Metropolitian ,39,11.917
36,4.8,Fog,Medium ,Snack ,motorcycle ,1,Metropolitian ,43,10.868
32,4.7,Windy,Low ,Buffet ,electric_scooter ,0,Metropolitian ,25,1.554
25,5.0,Windy,Medium ,Drinks ,motorcycle ,0,Metropolitian ,27,9.313
27,4.5,Windy,Medium ,Drinks ,scooter ,1,Metropolitian ,29,6.147
32,4.1,Sandstorms,Medium ,Buffet ,motorcycle ,1,Metropolitian ,33,10.867
23,4.7,Fog,Medium ,Drinks ,motorcycle ,1,Urban ,19,6.209
39,4.4,Sunny,Medium ,Meal ,motorcycle ,1,Metropolitian ,33,20.181
29,4.6,Stormy,Jam ,Meal ,scooter ,1,Metropolitian ,29,4.494
26,4.9,Stormy,Low ,Meal ,scooter ,1,Metropolitian ,18,20.852
25,5.0,Stormy,Low ,Meal ,motorcycle ,1,Metropolitian ,14,1.561
34,4.7,Windy,Medium ,Snack ,motorcycle ,1,Metropolitian ,30,6.211
